part,chapter,wordcount
1,I,1782
1,II,585
1,III,367
1,IV,621
1,V,830
1,VI,1103
1,VII,2312
1,VIII,800
1,IX,887
1,X,832
1,XI,1073
1,XII,864
1,XIII,1218
1,XIV,759
1,XV,1131
1,XVI,842
1,XVII,696
1,XVIII,774
1,XIX,385
1,XX,1309
2,I,465
2,II,1303
2,III,760
2,IV,1162
2,V,2030
2,VI,3262
2,VII,671
2,VIII,1153
2,IX,3843
2,X,1203
2,XI,1289
2,XII,1391
3,I,1528
3,II,1300
3,III,755
3,IV,2004
3,V,2583
3,VI,1020
3,VII,1011
3,VIII,395
3,IX,918
3,X,934
4,I,702
4,II,858
4,III,1131
4,IV,747
4,V,1369
4,VI,677
4,VII,1018
4,VIII,1009
4,IX,848
4,X,1136
4,XI,982
4,XII,2143
4,XIII,325
4,XIV,1388
4,XV,1368
4,XVI,2340
5,I,1088
5,II,613
5,III,1364
5,IV,1917
5,V,511
5,VI,1033
5,VII,4744
5,VIII,1006
5,IX,8980
5,X,2793
5,XI,1521
5,XII,615
5,XIII,1656
5,XIV,432
6,I,1700
6,II,571
6,III,3171
6,IV,1216
6,V,2005
6,VI,1261
6,VII,1252
6,VIII,2001
6,IX,1780
6,X,339
6,XI,1252
6,XII,3041
6,XIII,928
6,XIV,1092
6,XV,860
6,XVI,1210
6,XVII,977
6,XVIII,1446
6,XIX,480
6,XX,630
6,XXI,1005
6,XXII,660
6,XXIII,2692
6,XXIV,1048
6,XXV,1050
6,XXVI,2094
6,XXVII,768
6,XXVIII,516
6,XXIX,931
6,XXX,750
6,XXXI,1707
6,XXXII,1956
6,XXXIII,2180
7,I,995
7,II,944
7,III,2371
7,IV,890
