word,count
"a",1944
"a-blossoming",1
"a-doing",1
"a-dying",1
"a-fishing",1
"a-flaming",2
"a-flutter",1
"a-flying",1
"a-gallop",1
"a-glitter",1
"a-going",1
"a-growing",1
"a-horse-back",1
"a-horseback",1
"a-hunting",1
"a-laughing",1
"a-longing",1
"a-night-tide",2
"a-night-tides",1
"a-night-time",1
"a-nights",2
"a-playing",1
"a-praying",1
"a-running",1
"a-singing",1
"a-straddle",1
"a-talking",2
"a-toying",1
"a-tumbling",1
"a-weeping",4
"aback",11
"abashed",7
"abashment",1
"abate",1
"abated",1
"abatement",1
"abed",1
"abide",60
"abided",9
"abiders",1
"abideth",6
"abiding",20
"abiding-place",1
"able",8
"aboard",13
"abode",30
"abounding",1
"about",262
"above",26
"abovesaid",2
"abroad",10
"absence",5
"abundance",2
"abundant",1
"abundantly",4
"accompanied",2
"accomplish",2
"accomplished",4
"according",10
"account",3
"accounted",2
"accursed",9
"accused",1
"ache",1
"aches",1
"achieve",1
"achieved",1
"acquaintance",1
"acre",3
"acre-land",4
"across",23
"adam",16
"adam’s",3
"added",1
"adder",1
"admonished",1
"ado",17
"adoing",1
"adoors",2
"adorn",1
"adown",8
"advanced",1
"adventure",27
"adventures",3
"adventurous",1
"advised",1
"afar",4
"afeard",3
"affright",1
"affrighted",2
"afield",6
"afire",1
"aflame",2
"afoot",16
"afore",3
"aforesaid",32
"aforetime",3
"afraid",16
"afresh",3
"aft",1
"after",128
"afternoon",7
"afterwards",12
"again",392
"against",63
"age",5
"aged",1
"aghast",3
"ago",21
"agone",10
"agony",1
"agreed",1
"ah",11
"ahead",6
"aid",1
"ailed",1
"ailing",1
"ails",3
"aimed",1
"air",16
"ajoy",1
"akin",1
"aland",8
"alarms",1
"alas",4
"albeit",13
"alboun",1
"alder",3
"alder-boughs",1
"alder-wood",1
"alderman",3
"aldermen",2
"alders",2
"ale-houses",1
"alien",8
"aliens",1
"alighted",1
"alike",3
"alive",31
"all",765
"all-armed",3
"all-hallows",7
"allay",1
"allegiance",2
"alley",4
"almost",7
"aloft",12
"alone",47
"along",50
"aloof",19
"aloud",13
"already",14
"also",123
"altar",1
"although",2
"altogether",8
"always",5
"am",169
"amaze",2
"amble",1
"ambling",1
"ambry",3
"ambush",3
"ambushment",1
"amend",1
"amended",2
"amid",1
"amidmost",2
"amidst",60
"amiss",16
"among",4
"amongst",50
"an",161
"ancient",14
"and",9826
"anear",1
"anew",3
"anger",9
"angle",2
"angled",1
"angrily",2
"angry",14
"anguish",17
"anigh",26
"ankle",2
"ankle-deep",1
"ankles",10
"anlace",2
"anon",17
"another",60
"another’s",1
"anselm",1
"answer",24
"answered",36
"answering",3
"ant-heap",1
"antony",4
"anxious",2
"anxiously",4
"any",141
"anyhow",2
"anyone",3
"anything",3
"anywhere",5
"anywise",5
"apace",2
"apart",11
"apothecary",1
"appear",1
"appearance",3
"appeared",1
"appeased",1
"apple",3
"apple-tree",6
"appleham",1
"apples",1
"appointed",2
"apprentices",4
"april",3
"apt",1
"arch",1
"arched",1
"archer",1
"archers",2
"archway",1
"are",143
"aright",2
"arise",9
"arisen",6
"arises",1
"arising",1
"arm",23
"armed",11
"armour",19
"armours",1
"arms",65
"army",1
"arnold",8
"arose",73
"around",11
"arouse",1
"arras",1
"array",9
"arrayal",2
"arrayed",3
"arrow",8
"arrows",11
"art",191
"arthur",147
"arthur’s",6
"artificers",1
"as",1342
"ash",1
"ash-staff",1
"ash-trees",1
"ash-wand",1
"ashamed",9
"ashen",2
"ashes",2
"ashlar",2
"ashore",16
"aside",17
"ask",64
"askance",1
"asked",36
"askest",1
"asking",11
"asleep",28
"aspect",14
"ass",7
"ass-leader",1
"assailants",1
"assault",3
"assuage",2
"assuaging",1
"assured",1
"assuredly",1
"ass’s",2
"astern",3
"astir",3
"astonished",2
"astray",2
"at",585
"ate",24
"athwart",6
"atra",135
"atra’s",9
"attested",1
"attire",8
"audrey",3
"aught",59
"august",2
"aumbry",1
"aurea",52
"aurea’s",6
"austin",1
"autumn",1
"avail",19
"availed",2
"availeth",3
"avails",1
"avenge",2
"avenged",1
"await",1
"awaited",1
"awaiteth",1
"awaiting",6
"awake",19
"awaken",1
"awakened",7
"awakening",5
"awakens",1
"awaketh",2
"awaking",1
"award",1
"aware",1
"away",147
"awfully",1
"awhile",18
"awoke",31
"axe",2
"aymeris",43
"aymeris’",1
"b",1
"babble",2
"babbled",2
"babbling",1
"babe",3
"babes",10
"babe’s",1
"baby",1
"baby’s",1
"back",243
"back-handed",1
"backs",3
"backward",2
"bad",5
"bade",63
"badest",1
"baffled",1
"bag",1
"bag-of-bones",2
"bag-o’-bones",1
"bairn",1
"bairns",1
"bait",1
"bake",1
"baking",1
"bale-fire",1
"balefully",1
"band",4
"bands",5
"bandy",1
"bane",4
"bank",11
"bank-side",1
"banks",1
"bann",1
"banned",5
"banners",1
"banquet",8
"bare",22
"bare-headed",1
"bared",5
"barefoot",8
"barely",2
"bargain",1
"barge",6
"baring",1
"barked",1
"baron",1
"barons",2
"baron’s",1
"barque",1
"barred",1
"barren",5
"barriers",1
"bars",5
"basecourt",1
"basket",7
"basnets",2
"bath",3
"bathe",3
"bathed",8
"bathing",2
"battered",1
"battering",1
"battle",20
"battle-coat",1
"battle-gear",1
"battlement",4
"battlements",2
"battles",1
"baudoin",59
"baudoin’s",3
"bawdekin",1
"bay",6
"be",976
"be-timbered",1
"beach",2
"beakers",1
"beam",1
"beams",3
"bear",51
"beard",1
"bearest",3
"beareth",2
"bearing",10
"beast",15
"beast-like",1
"beasts",17
"beast’s",1
"beat",15
"beaten",3
"beating",5
"beauteous",13
"beauteously",1
"beautiful",3
"beauty",25
"became",35
"because",82
"beckoning",1
"become",23
"becoming",1
"bed",39
"bed-gear",1
"bed-lane",1
"bedded",2
"bedding",1
"bedfellow",1
"bedight",2
"bedizenments",1
"beds",1
"bedthrall",1
"bee-skeps",1
"beech",2
"beef",1
"been",229
"bees",1
"beetle",1
"beetles",1
"beetling",1
"beeves",2
"befall",24
"befallen",9
"befalleth",1
"befel",1
"befell",20
"befitteth",5
"before",295
"began",50
"begemmed",1
"beget",1
"beggar’s",1
"begin",18
"beginneth",1
"beginning",17
"begins",7
"begone",4
"begrown",1
"begrudge",5
"beguile",2
"beguiled",3
"beguiling",1
"beguilings",1
"begun",6
"beheld",26
"behest",1
"behight",3
"behind",38
"behold",13
"beholden",1
"beholdeth",1
"beholding",1
"behoved",1
"being",23
"belated",3
"believe",7
"believed",3
"belike",70
"bellies",1
"belong",1
"beloved",15
"below",13
"belt",2
"belted",1
"bench",2
"benches",1
"bend",1
"bended",5
"bending",1
"beneath",9
"bent",25
"bent-grass",1
"bent-side",1
"bents",1
"berry-trees",2
"beseech",10
"beseeching",2
"beseechingly",1
"beset",9
"beside",41
"besides",7
"besmeared",1
"besought",2
"besprinkled",4
"best",41
"best-trusted",1
"bestead",5
"bestial",2
"bestowed",1
"betake",3
"betaken",1
"bethink",2
"bethought",3
"betid",21
"betide",18
"betided",1
"betimes",12
"betook",8
"betray",1
"betrayed",4
"betraying",1
"better",73
"bettered",1
"between",30
"betwixt",62
"bewail",1
"bewailed",2
"bewailing",2
"beware",5
"bewildered",4
"bewitched",1
"bewooed",1
"bewray",2
"beyond",23
"bicker",1
"bid",29
"bidden",15
"biddest",1
"biddeth",3
"bidding",22
"bide",1
"biding",1
"bier",3
"big",42
"big-boled",1
"big-made",1
"bigger",3
"bight",12
"bind",3
"birch-bush",1
"bird",6
"birdalone",857
"birdalone’s",55
"birds",12
"birds’",1
"bit",2
"bitches",2
"bite",3
"bites",1
"biting",1
"bitter",7
"bitter-sweet",2
"bitterly",3
"bitterness",2
"black",120
